book_id,stock
1,2
2,3
3,2
4,3
5,2
6,3
7,2
8,3
9,2
10,3
11,2
12,3
13,2
14,3
15,2
16,3
17,2
18,3
19,2
20,3
21,2
22,3
23,2
24,3
25,2
26,3
27,2
28,3
29,2
30,3
31,2
32,3
33,2
34,3
35,2
36,3
37,2
38,3
39,2
40,3
41,2
42,3
43,2
44,3
45,2
46,3
47,2
48,3
49,2
50,3
51,2
52,3
53,2
54,3
55,2
56,3
57,2
58,3
59,2
60,3
61,2
62,3
63,2
64,3
65,2
66,3
67,2
68,3
69,2
70,3
71,2
72,3
73,2
74,3
75,2
76,3
77,2
78,3
79,2
80,3
81,2
82,3
83,2
84,3
85,2
86,3
87,2
88,3
89,2
90,3
91,2
92,3
93,2
94,3
95,2
96,3
97,2
98,3
99,2
100,3
101,2
102,3
103,2
104,3
105,2
106,3
107,2
108,3
109,2
110,3
111,2
112,3
113,2
114,3
115,2
116,3
117,2
118,3
119,2
120,3
121,2
122,3
123,2
124,3
125,2
126,3
127,2
128,3
129,2
130,3
131,2
132,3
133,2
134,3
135,2
136,3
137,2
138,3
139,2
140,3
141,2
142,3
143,2
144,3
145,2
146,3
147,2
148,3
149,2
150,3
